phylum	class	order	family	genus	species
Ascomycota	Lecanoromycetes	Lecanorales	Parmeliaceae	Dolichousnea	Dolichousnea longissima
Basidiomycota	Agaricomycetes	Auriculariales		Ductifera	Ductifera pululahuana
Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Echinoderma	Echinoderma asperum
Basidiomycota	Agaricomycetes	Agaricales	Entolomataceae	Entoloma	Entoloma abortivum
Basidiomycota	Agaricomycetes	Agaricales	Entolomataceae	Entoloma	Entoloma hochstetteri
Basidiomycota	Agaricomycetes	Agaricales	Entolomataceae	Entoloma	Entoloma murrayi
Basidiomycota	Agaricomycetes	Agaricales	Entolomataceae	Entoloma	Entoloma quadratum
Basidiomycota	Agaricomycetes	Agaricales	Entolomataceae	Entoloma	Entoloma sericeum
Ascomycota	Leotiomycetes	Helotiales	Erysiphaceae	Erysiphe	Erysiphe alphitoides
Ascomycota	Leotiomycetes	Helotiales	Erysiphaceae	Erysiphe	Erysiphe euonymicola
Ascomycota	Lecanoromycetes	Lecanorales	Parmeliaceae	Evernia	Evernia mesomorpha
Ascomycota	Lecanoromycetes	Lecanorales	Parmeliaceae	Evernia	Evernia prunastri
Basidiomycota	Agaricomycetes	Auriculariales	Auriculariaceae	Exidia	Exidia glandulosa
Basidiomycota	Tremellomycetes	Tremellales	Exidiaceae	Exidia	Exidia glandulosa
Basidiomycota	Agaricomycetes	Auriculariales	Auriculariaceae	Exidia	Exidia nigricans
Basidiomycota	Agaricomycetes	Auriculariales	Auriculariaceae	Exidia	Exidia recisa
Basidiomycota	Agaricomycetes	Auriculariales	Auriculariaceae	Exidia	Exidia thuretiana
Basidiomycota	Agaricomycetes	Auriculariales	Auriculariaceae	Exidiopsis	Exidiopsis effusa
Basidiomycota	Tremellomycetes	Tremellales	Exidiaceae	Exidiopsis	Exidiopsis effusa
Basidiomycota	Exobasidiomycetes	Exobasidiales	Exobasidiaceae	Exobasidium	Exobasidium vaccinii
Basidiomycota	Agaricomycetes	Agaricales	Mycenaceae	Favolaschia	Favolaschia claudopus
Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Favolus	Favolus tenuiculus
Basidiomycota	Agaricomycetes	Agaricales	Fistulinaceae	Fistulina	Fistulina hepatica
Basidiomycota	Agaricomycetes	Agaricales	Physalacriaceae	Flammulina	Flammulina velutipes
Ascomycota	Lecanoromycetes	Lecanorales	Parmeliaceae	Flavoparmelia	Flavoparmelia caperata
Ascomycota	Lecanoromycetes	Lecanorales	Parmeliaceae	Flavoparmelia	Flavoparmelia soredians
Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Fomes	Fomes fomentarius
Basidiomycota	Agaricomycetes	Hymenochaetales	Hymenochaetaceae	Fomitiporia	Fomitiporia punctata
Basidiomycota	Agaricomycetes	Hymenochaetales	Hymenochaetaceae	Fomitiporia	Fomitiporia robusta
Basidiomycota	Agaricomycetes	Polyporales	Fomitopsidaceae	Fomitopsis	Fomitopsis betulina
Basidiomycota	Agaricomycetes	Polyporales	Fomitopsidaceae	Fomitopsis	Fomitopsis mounceae
Basidiomycota	Agaricomycetes	Polyporales	Fomitopsidaceae	Fomitopsis	Fomitopsis ochracea
Basidiomycota	Agaricomycetes	Polyporales	Fomitopsidaceae	Fomitopsis	Fomitopsis pinicola
Basidiomycota	Agaricomycetes	Agaricales	Hymenogastraceae	Galerina	Galerina marginata
Ascomycota	Pezizomycetes	Pezizales	Sarcosomataceae	Galiella	Galiella rufa
Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Ganoderma	Ganoderma adspersum
Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Ganoderma	Ganoderma applanatum
Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Ganoderma	Ganoderma brownii
Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Ganoderma	Ganoderma curtisii
Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Ganoderma	Ganoderma lucidum
Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Ganoderma	Ganoderma oregonense
Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Ganoderma	Ganoderma resinaceum
Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Ganoderma	Ganoderma tsugae
Basidiomycota	Agaricomycetes	Geastrales	Geastraceae	Geastrum	Geastrum fimbriatum
Basidiomycota	Agaricomycetes	Geastrales	Geastraceae	Geastrum	Geastrum saccatum
Basidiomycota	Agaricomycetes	Geastrales	Geastraceae	Geastrum	Geastrum striatum
Basidiomycota	Agaricomycetes	Geastrales	Geastraceae	Geastrum	Geastrum triplex
Ascomycota	Lecanoromycetes	Lecanorales	Lecanoraceae	Glaucomaria	Glaucomaria carpinea
Basidiomycota	Agaricomycetes	Agaricales	Hygrophoraceae	Gliophorus	Gliophorus laetus
Basidiomycota	Agaricomycetes	Agaricales	Hygrophoraceae	Gliophorus	Gliophorus psittacinus
